2026-06-24 17:16:49 | WARNING  | pdf_reader | PyPDF2 is deprecated — install pypdf for better compatibility: pip install pypdf
2026-06-24 23:59:50 | INFO     | simplifier | Simplify batch 4: accepted=7 rejected=0 on attempt 1
2026-06-24 23:59:50 | INFO     | simplifier | Simplify batch 5: 7 clause(s)
2026-06-24 23:59:50 | INFO     | llm | Using GROQ_API_KEY_3 (fast/8b)
2026-06-24 23:59:51 | INFO     | simplifier | Simplify batch 6: 7 clause(s)
2026-06-24 23:59:51 | INFO     | llm | Using GROQ_API_KEY_1 (fast/8b)
2026-06-24 23:59:52 | INFO     | simplifier | Simplify batch 6: accepted=7 rejected=0 on attempt 1
2026-06-24 23:59:52 | INFO     | simplifier | Simplify batch 7: 7 clause(s)
2026-06-24 23:59:52 | INFO     | llm | Using GROQ_API_KEY_2 (fast/8b)
2026-06-24 23:59:53 | INFO     | simplifier | Simplify batch 7: accepted=7 rejected=0 on attempt 1
2026-06-24 23:59:53 | INFO     | simplifier | Simplify batch 8: 7 clause(s)
2026-06-24 23:59:53 | INFO     | llm | Using GROQ_API_KEY_3 (fast/8b)
2026-06-24 23:59:54 | INFO     | simplifier | Simplify batch 9: 7 clause(s)
2026-06-24 23:59:54 | INFO     | llm | Using GROQ_API_KEY_1 (fast/8b)
2026-06-24 23:59:59 | INFO     | simplifier | Simplify batch 8: accepted=7 rejected=0 on attempt 1
2026-06-25 00:00:09 | INFO     | simplifier | Simplify batch 5: accepted=7 rejected=0 on attempt 1
2026-06-25 00:00:18 | WARNING  | simplifier | Simplify batch 9: LLM call exceeded 24.0s on attempt 1
2026-06-25 00:00:20 | INFO     | simplifier | Simplify batch 9: accepted=7 rejected=0 on attempt 2
2026-06-25 00:00:20 | INFO     | simplifier | Simplified 63 clause(s) across 9 batch(es) in 34.2s (deadline=60.0s) | fell_back_to_reason=0
2026-06-25 00:00:20 | INFO     | pipeline | Simplifier: 63 clauses | took 34.2s
2026-06-25 00:00:20 | WARNING  | reporter | 30 clause(s) have generic/boilerplate negotiation tips — check risk_analyzer prompt quality
2026-06-25 00:00:20 | INFO     | reporter | Report generated | doc=OFFER_LETTER | score=4.1 | high=5 | medium=10 | low=25 | safe=23 | unanalyzed=0 | coverage=63 clauses from 17 sections
2026-06-25 00:00:20 | INFO     | pipeline | Reporter: done | took 0.0s
2026-06-25 00:00:20 | INFO     | pipeline | Pipeline complete | step=complete | total=138.0s
